CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
DAÑOS,01/11/2022 12:00:00 AM,"2,022",1899-12-31T11:40:00.000,MAÑANA,MARTES,VERSALLES,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53787,-76.29704,GIRAR REPENTINAMENTE,122,NO APLICA,CHOQUE,57,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PALMIRA,PARTICULAR,NO APLICA
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T15:00:00.000,TARDE,LUNES,BARRIO NUEVO,CALLLE 27 CARRERA 32,URBANA,TECNICO,3.52495,-76.3029,GIRAR REPENTINAMENTE,122,NO APLICA,CHOQUE,29,MASCULINO,NO APLICA,NO APLICA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T15:00:00.000,TARDE,LUNES,BARRIO NUEVO,CALLLE 27 CARRERA 32,URBANA,TECNICO,3.52495,-76.3029,GIRAR REPENTINAMENTE,122,NO APLICA,CHOQUE,58,MASCULINO,NO APLICA,NO APLICA,BUS,HINO,PALMIRA,PARTICULAR,NO APLICA
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T17:40:00.000,TARDE,LUNES,CENTRO,CALLE 30 CARRERA 33,URBANA,TECNICO,3.52755,-76.30334,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,45,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PUBLICO,UNION TAXIS
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T17:40:00.000,TARDE,LUNES,CENTRO,CALLE 30 CARRERA 33,URBANA,TECNICO,3.52755,-76.30334,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,59,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,CALI,PARTICULAR,NO APLICA
DAÑOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:40:00.000,MAÑANA,MIERCOLES,VIA PALMIRA GUAYABAL,KM 1,RURAL,TECNICO,3.54453,-76.26754,ARRANCAR SIN PRECAUCION,145,NO APLICA,CHOQUE,56,MASCULINO,NO APLICA,NO APLICA,CAMION,CHEVROLET,GUACARI,OFICIAL,NO APLICA
DAÑOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:40:00.000,MAÑANA,MIERCOLES,VIA PALMIRA GUAYABAL,KM 1,RURAL,TECNICO,3.54453,-76.26754,ARRANCAR SIN PRECAUCION,145,NO APLICA,CHOQUE,76,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,BOGOTA,PARTICULAR,NO APLICA
HERIDOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:30:00.000,MAÑANA,MIERCOLES,BARRIO NUEVO,CARRERA 31 CALLE 20,URBANA,TECNICO,3.51893,-76.30311,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,23,MASCULINO,NO APLICA,NO APLICA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA
HERIDOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:30:00.000,MAÑANA,MIERCOLES,BARRIO NUEVO,CARRERA 31 CALLE 20,URBANA,TECNICO,3.51893,-76.30311,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,22,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,CALI,PARTICULAR,NO APLICA
HERIDOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:30:00.000,MAÑANA,MIERCOLES,BARRIO NUEVO,CARRERA 31 CALLE 20,URBANA,TECNICO,3.51893,-76.30311,DESOBEDESER SEÑAL,112,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,53,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
