GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
MASCULINO,ECUADOR,QUITO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,7,HOTEL,"3,500,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
MASCULINO,COLOMBIA,ANTIOQUIA,51-62,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,2,FINCA AGRO TURÍSTICA / ALOJAMIENTO RURAL,"650,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
MASCULINO,ECUADOR,QUITO,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,7,HOTEL,"3,500,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
FEMENINO,COLOMBIA,BOYACÁ,27-38,VENDER BIENES O PRESTAR SERVICIOS COMO REPRESENTANTE DE EMPRESA QUE NO ES DEL VALLE O COMO INDEPENDIENTE,5,HABITACIÓN SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MÍA,"2,000,000",REDES SOCIALES,"2,021"
MASCULINO,COLOMBIA,BOYACÁ,27-38,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",3,HABITACIÓN SIN PAGAR EN VIVIENDA FAMILIAR QUE NO ES ALLEGADA MÍA,"1,600,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,BOYACÁ,27-38,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",5,HOTEL,"1,800,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,PERU,LIMA,39-50,"VACACIONES, RECREO Y OCIO",4,OTRO,"170,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,RISARALDA,27-38,"TURISMO DE NEGOCIOS: REALIZAR INVERSIÓN, VENDER Y/O COMPRAR BIENES O PRESTAR SERVICIOS",2,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,ECUADOR,CARCHI,39-50,"VACACIONES, RECREO Y OCIO",25,HOSTAL / ALBERGUE / REFUGIO / POSADA TURÍSTICA,"4,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,ECUADOR,CARCHI,27-38,"VACACIONES, RECREO Y OCIO",,HOSTAL / ALBERGUE / REFUGIO / POSADA TURÍSTICA,"5,000,000","BÚSQUEDAS, PÁGINAS Y AVISOS EN INTERNET.","2,021"
